Type,Year,Month,Reported Cases
Neuroinvasive disease cases,1999-2023,Jan,19
Neuroinvasive disease cases,1999-2023,Feb,14
Neuroinvasive disease cases,1999-2023,Mar,20
Neuroinvasive disease cases,1999-2023,Apr,32
Neuroinvasive disease cases,1999-2023,May,106
Neuroinvasive disease cases,1999-2023,Jun,661
Neuroinvasive disease cases,1999-2023,Jul,4274
Neuroinvasive disease cases,1999-2023,Aug,12827
Neuroinvasive disease cases,1999-2023,Sep,9721
Neuroinvasive disease cases,1999-2023,Oct,2277
Neuroinvasive disease cases,1999-2023,Nov,387
Neuroinvasive disease cases,1999-2023,Dec,82
